timestamp,rollspeed_integ,pitchspeed_integ,yawspeed_integ,additional_integ1
40851373,-0.0215629,-0.0427259,-0.0166923,0.0
41051295,-0.0199571,-0.0473763,-0.0152661,0.0
41251232,-0.0195743,-0.0525462,-0.0137193,0.0
41450029,-0.0196091,-0.0547905,-0.0120861,0.0
41649844,-0.0201,-0.0572512,-0.010703,0.0
41849779,-0.0194453,-0.0605292,-0.00978733,0.0
42052205,-0.0199064,-0.058584,-0.00957547,0.0
42252250,-0.0182194,-0.0595608,-0.0094819,0.0
42450807,-0.0188504,-0.0568533,-0.00945086,0.0
42650740,-0.020898,-0.057051,-0.00974157,0.0
42850667,-0.0204652,-0.0571334,-0.0098808,0.0
43049454,-0.0202675,-0.0584549,-0.00964294,0.0
43249286,-0.0205816,-0.0550013,-0.00980539,0.0
43452953,-0.0203471,-0.0548101,-0.00964358,0.0
43651634,-0.0200237,-0.0554311,-0.0092303,0.0
43851624,-0.0182092,-0.0581341,-0.00864483,0.0
44050253,-0.01821,-0.0593076,-0.0083975,0.0
44250189,-0.0193763,-0.0617189,-0.00908932,0.0
44450105,-0.0183011,-0.0611611,-0.0109186,0.0
44648788,-0.0224148,-0.0593508,-0.0112799,0.0
44850015,-0.0229721,-0.0583425,-0.0114631,0.0
45052386,-0.0185135,-0.0570049,-0.00976552,0.0
45251065,-0.0199367,-0.0555538,-0.00479858,0.0
45451003,-0.0195458,-0.0531572,-0.0080778,0.0
45650929,-0.0224834,-0.0499833,-0.0120474,0.0
45849610,-0.0248537,-0.0529612,-0.0156483,0.0
46049541,-0.02729,-0.043784,-0.0184158,0.0
46251957,-0.0259864,-0.0447797,-0.0198262,0.0
46451883,-0.0271851,-0.0452532,-0.0201524,0.0
46651816,-0.0268903,-0.0469212,-0.0190729,0.0
46850503,-0.0261155,-0.047741,-0.0171692,0.0
47050441,-0.0259342,-0.0494403,-0.014396,0.0
47250373,-0.0291516,-0.0526044,-0.0121692,0.0
47449052,-0.0312135,-0.0510905,-0.0111235,0.0
47652966,-0.0310738,-0.0485003,-0.0103787,0.0
47850181,-0.0298815,-0.0498248,-0.00966469,0.0
48051326,-0.0258585,-0.0527296,-0.0085656,0.0
48252507,-0.0268961,-0.0536456,-0.00731422,0.0
