timestamp,armed_time_ms,armed,prearmed,ready_to_arm,lockdown,manual_lockdown,force_failsafe,in_esc_calibration_mode,soft_stop
223325302,38493,1,1,1,0,0,0,0,0
223829307,38493,1,1,1,0,0,0,0,0
224334493,38493,1,1,1,0,0,0,0,0
224835308,38493,1,1,1,0,0,0,0,0
225335482,38493,1,1,1,0,0,0,0,0
225843659,38493,1,1,1,0,0,0,0,0
226354008,38493,1,1,1,0,0,0,0,0
226861501,38493,1,1,1,0,0,0,0,0
227370423,38493,1,1,1,0,0,0,0,0
227870841,38493,1,1,1,0,0,0,0,0
228379306,38493,1,1,1,0,0,0,0,0
228883307,38493,1,1,1,0,0,0,0,0
229385308,38493,1,1,1,0,0,0,0,0
229887425,38493,1,1,1,0,0,0,0,0
230368454,0,0,1,1,0,0,0,0,0
230870303,0,0,1,1,0,0,0,0,0
