timestamp,voltage5v_v,voltage3v3_v,v3v3_valid,usb_connected,brick_valid,usb_valid,servo_valid,periph_5v_oc,hipower_5v_oc
209177240,5.08535,3.29194,1,0,1,0,1,0,0
209677064,5.14014,3.28872,1,0,1,0,1,0,0
210177092,5.08374,3.29517,1,0,1,0,1,0,0
210677070,5.07729,3.29355,1,0,1,0,1,0,0
211177111,5.03862,3.28711,1,0,1,0,1,0,0
211677067,5.03057,3.28872,1,0,1,0,1,0,0
212177084,4.99995,3.29194,1,0,1,0,1,0,0
212677145,4.98384,3.29194,1,0,1,0,1,0,0
213177074,4.979,3.28872,1,0,1,0,1,0,0
213677066,4.99028,3.28872,1,0,1,0,1,0,0
214177068,4.96934,3.29194,1,0,1,0,1,0,0
214677314,4.97095,3.29033,1,0,1,0,1,0,0
215177066,4.9645,3.28711,1,0,1,0,1,0,0
215677065,4.95322,3.29355,1,0,1,0,1,0,0
216177207,4.95967,3.29194,1,0,1,0,1,0,0
216677293,4.94839,3.28711,1,0,1,0,1,0,0
217177133,4.93872,3.29194,1,0,1,0,1,0,0
217677069,4.95322,3.29355,1,0,1,0,1,0,0
218177126,4.93066,3.29033,1,0,1,0,1,0,0
218677111,4.94517,3.28872,1,0,1,0,1,0,0
219177077,4.94839,3.29355,1,0,1,0,1,0,0
219677222,4.94678,3.29033,1,0,1,0,1,0,0
220177083,4.9355,3.28872,1,0,1,0,1,0,0
220677155,4.93389,3.28711,1,0,1,0,1,0,0
221177072,4.92905,3.29355,1,0,1,0,1,0,0
221677211,4.95322,3.29194,1,0,1,0,1,0,0
222177068,4.94194,3.28872,1,0,1,0,1,0,0
222677070,4.94517,3.29355,1,0,1,0,1,0,0
223177215,4.92744,3.29194,1,0,1,0,1,0,0
223677065,4.92744,3.28872,1,0,1,0,1,0,0
224177517,4.94517,3.28872,1,0,1,0,1,0,0
224677067,4.95322,3.29194,1,0,1,0,1,0,0
225177065,4.93389,3.29194,1,0,1,0,1,0,0
225677275,4.94033,3.28872,1,0,1,0,1,0,0
226177070,4.92905,3.29355,1,0,1,0,1,0,0
226677102,4.94678,3.29355,1,0,1,0,1,0,0
227177999,4.94839,3.29194,1,0,1,0,1,0,0
227677065,4.94355,3.28711,1,0,1,0,1,0,0
228177199,4.93872,3.29355,1,0,1,0,1,0,0
228677065,4.94839,3.29194,1,0,1,0,1,0,0
229177070,4.93066,3.29033,1,0,1,0,1,0,0
229677396,4.94839,3.2855,1,0,1,0,1,0,0
230177623,5.13691,3.29355,1,0,1,0,1,0,0
230677129,4.94678,3.29033,1,0,1,0,1,0,0
231177126,5.04829,3.28872,1,0,1,0,1,0,0
231677064,4.94033,3.29355,1,0,1,0,1,0,0
232177183,4.94355,3.29194,1,0,1,0,1,0,0
232677067,4.95483,3.29033,1,0,1,0,1,0,0
233177066,4.93711,3.28872,1,0,1,0,1,0,0
233677066,4.94355,3.29355,1,0,1,0,1,0,0
234177120,4.93066,3.28872,1,0,1,0,1,0,0
234677090,4.94033,3.28872,1,0,1,0,1,0,0
235177065,4.94678,3.29355,1,0,1,0,1,0,0
235677072,4.94678,3.29355,1,0,1,0,1,0,0
236177088,4.94355,3.28872,1,0,1,0,1,0,0
236677066,4.93389,3.28872,1,0,1,0,1,0,0
237177196,4.92905,3.29194,1,0,1,0,1,0,0
237677066,4.95161,3.29033,1,0,1,0,1,0,0
238177144,4.94194,3.28872,1,0,1,0,1,0,0
238677089,4.94517,3.29194,1,0,1,0,1,0,0
239177077,4.93389,3.29194,1,0,1,0,1,0,0
239677066,4.92744,3.28872,1,0,1,0,1,0,0
240177330,4.93711,3.28711,1,0,1,0,1,0,0
240677067,4.95161,3.29355,1,0,1,0,1,0,0
241177092,4.93389,3.29355,1,0,1,0,1,0,0
241677094,5.13047,3.28872,1,0,1,0,1,0,0
242177242,5.1917,3.28711,1,0,1,0,1,0,0
242677103,4.94517,3.29355,1,0,1,0,1,0,0
243177100,4.94678,3.28872,1,0,1,0,1,0,0
243677068,4.94355,3.28872,1,0,1,0,1,0,0
244177187,5.19331,3.29194,1,0,1,0,1,0,0
244677184,5.19331,3.29194,1,0,1,0,1,0,0
245177162,4.93389,3.29033,1,0,1,0,1,0,0
245677236,4.95161,3.29194,1,0,1,0,1,0,0
246177182,5.19492,3.29194,1,0,1,0,1,0,0
246677104,4.95322,3.28872,1,0,1,0,1,0,0
247177071,4.93711,3.29194,1,0,1,0,1,0,0
247677072,4.94194,3.29194,1,0,1,0,1,0,0
248177085,4.92744,3.29194,1,0,1,0,1,0,0
248677126,4.95645,3.28711,1,0,1,0,1,0,0
249177091,4.94194,3.28711,1,0,1,0,1,0,0
249677080,4.95161,3.29355,1,0,1,0,1,0,0
250177101,4.9355,3.29033,1,0,1,0,1,0,0
250677738,4.94033,3.28872,1,0,1,0,1,0,0
251177210,4.94678,3.29194,1,0,1,0,1,0,0
251677064,5.19814,3.29194,1,0,1,0,1,0,0
252177785,4.94355,3.28872,1,0,1,0,1,0,0
252677198,4.94033,3.28711,1,0,1,0,1,0,0
253177065,5.19492,3.29194,1,0,1,0,1,0,0
253678005,4.94678,3.29355,1,0,1,0,1,0,0
254177065,4.95322,3.29033,1,0,1,0,1,0,0
254677069,4.94517,3.29355,1,0,1,0,1,0,0
255177288,5.19976,3.29194,1,0,1,0,1,0,0
255677087,5.19492,3.28711,1,0,1,0,1,0,0
256177124,4.93872,3.28872,1,0,1,0,1,0,0
256677990,4.95645,3.29194,1,0,1,0,1,0,0
257177103,4.95,3.29194,1,0,1,0,1,0,0
257677065,5.19492,3.28872,1,0,1,0,1,0,0
258177510,5.19653,3.29355,1,0,1,0,1,0,0
258677068,4.94355,3.29194,1,0,1,0,1,0,0
259177111,4.94839,3.28711,1,0,1,0,1,0,0
259677476,4.95645,3.28872,1,0,1,0,1,0,0
260177068,4.94194,3.29194,1,0,1,0,1,0,0
260677075,4.93711,3.29194,1,0,1,0,1,0,0
261177067,4.93066,3.28872,1,0,1,0,1,0,0
261677068,4.94194,3.28872,1,0,1,0,1,0,0
262177066,4.95322,3.29194,1,0,1,0,1,0,0
262677089,4.96289,3.28872,1,0,1,0,1,0,0
263177065,4.98062,3.28872,1,0,1,0,1,0,0
263677068,4.94194,3.29355,1,0,1,0,1,0,0
264177064,4.9355,3.29194,1,0,1,0,1,0,0
264677065,4.95161,3.28872,1,0,1,0,1,0,0
265177093,5.19009,3.28872,1,0,1,0,1,0,0
265677066,5.11597,3.29194,1,0,1,0,1,0,0
266177066,4.93711,3.28872,1,0,1,0,1,0,0
266677239,5.19331,3.28872,1,0,1,0,1,0,0
267177065,4.94517,3.29355,1,0,1,0,1,0,0
267677065,4.95161,3.29355,1,0,1,0,1,0,0
268177126,4.9355,3.29194,1,0,1,0,1,0,0
268677091,5.1627,3.28872,1,0,1,0,1,0,0
269177081,5.19331,3.29355,1,0,1,0,1,0,0
269677094,5.19653,3.29033,1,0,1,0,1,0,0
270177065,4.95322,3.28872,1,0,1,0,1,0,0
270677145,4.94517,3.29355,1,0,1,0,1,0,0
271177065,4.96772,3.29194,1,0,1,0,1,0,0
271677065,5.19009,3.28872,1,0,1,0,1,0,0
272177186,5.19492,3.28872,1,0,1,0,1,0,0
272677296,4.94678,3.29355,1,0,1,0,1,0,0
273177066,5.18687,3.29194,1,0,1,0,1,0,0
273677286,4.95,3.29033,1,0,1,0,1,0,0
274177104,5.12402,3.29355,1,0,1,0,1,0,0
274677141,5.14014,3.29194,1,0,1,0,1,0,0
275177073,4.93389,3.29194,1,0,1,0,1,0,0
275677682,4.95645,3.29033,1,0,1,0,1,0,0
276177099,5.19814,3.29194,1,0,1,0,1,0,0
276677087,5.19492,3.29355,1,0,1,0,1,0,0
277177065,4.93872,3.28872,1,0,1,0,1,0,0
277677072,4.9355,3.29355,1,0,1,0,1,0,0
278177064,4.94355,3.29517,1,0,1,0,1,0,0
278677107,5.18687,3.28872,1,0,1,0,1,0,0
279177075,5.19492,3.28872,1,0,1,0,1,0,0
279677074,4.94355,3.29355,1,0,1,0,1,0,0
280178004,5.18848,3.29194,1,0,1,0,1,0,0
280677164,4.94678,3.28872,1,0,1,0,1,0,0
281177065,4.95806,3.28711,1,0,1,0,1,0,0
281677145,4.94517,3.29355,1,0,1,0,1,0,0
282177071,5.19814,3.29194,1,0,1,0,1,0,0
282677106,5.19814,3.28711,1,0,1,0,1,0,0
283177946,5.18364,3.29194,1,0,1,0,1,0,0
283677121,4.95483,3.29194,1,0,1,0,1,0,0
284177073,4.94517,3.28872,1,0,1,0,1,0,0
284677346,4.94194,3.28872,1,0,1,0,1,0,0
285177071,5.19492,3.29194,1,0,1,0,1,0,0
285677141,5.19492,3.28872,1,0,1,0,1,0,0
286177784,4.94839,3.29033,1,0,1,0,1,0,0
286677094,5.19492,3.29194,1,0,1,0,1,0,0
287177064,5.19492,3.29194,1,0,1,0,1,0,0
287677607,5.19653,3.28872,1,0,1,0,1,0,0
288177065,5.1917,3.28872,1,0,1,0,1,0,0
288677178,4.94517,3.29194,1,0,1,0,1,0,0
289177123,5.11113,3.29194,1,0,1,0,1,0,0
289677102,5.11597,3.29033,1,0,1,0,1,0,0
290177095,5.19331,3.29194,1,0,1,0,1,0,0
290677069,4.94517,3.29355,1,0,1,0,1,0,0
291177065,4.93872,3.28872,1,0,1,0,1,0,0
291677118,4.95322,3.28872,1,0,1,0,1,0,0
292177066,5.19814,3.29355,1,0,1,0,1,0,0
292677185,5.19814,3.29194,1,0,1,0,1,0,0
293177112,5.09502,3.28872,1,0,1,0,1,0,0
293677065,5.10791,3.28872,1,0,1,0,1,0,0
294177073,4.94678,3.29355,1,0,1,0,1,0,0
294677162,4.95161,3.28872,1,0,1,0,1,0,0
295177067,4.94839,3.28872,1,0,1,0,1,0,0
295677068,5.19653,3.29355,1,0,1,0,1,0,0
296177152,5.19331,3.29355,1,0,1,0,1,0,0
296677067,5.19331,3.28872,1,0,1,0,1,0,0
297177071,4.95322,3.29355,1,0,1,0,1,0,0
297677094,4.94839,3.29355,1,0,1,0,1,0,0
298177065,4.94194,3.28872,1,0,1,0,1,0,0
298677119,5.19976,3.29033,1,0,1,0,1,0,0
299177183,5.19492,3.29355,1,0,1,0,1,0,0
299677075,4.95322,3.29355,1,0,1,0,1,0,0
300177148,5.18364,3.28872,1,0,1,0,1,0,0
300677650,5.19492,3.28711,1,0,1,0,1,0,0
301177097,5.19653,3.29194,1,0,1,0,1,0,0
301677368,5.19492,3.29355,1,0,1,0,1,0,0
302177275,5.1498,3.28872,1,0,1,0,1,0,0
302677069,5.13369,3.29355,1,0,1,0,1,0,0
303177110,5.19331,3.29355,1,0,1,0,1,0,0
303677065,5.19492,3.28711,1,0,1,0,1,0,0
304177105,5.19492,3.29033,1,0,1,0,1,0,0
304677069,5.15786,3.29355,1,0,1,0,1,0,0
305177536,5.1627,3.29355,1,0,1,0,1,0,0
305677069,5.19653,3.28872,1,0,1,0,1,0,0
306177091,5.19492,3.29194,1,0,1,0,1,0,0
306677108,5.19653,3.29194,1,0,1,0,1,0,0
307177098,5.19653,3.28872,1,0,1,0,1,0,0
307677065,5.18203,3.28872,1,0,1,0,1,0,0
308177282,5.19653,3.29194,1,0,1,0,1,0,0
308677144,5.18687,3.29355,1,0,1,0,1,0,0
309177092,5.16592,3.29033,1,0,1,0,1,0,0
309677811,5.19331,3.28872,1,0,1,0,1,0,0
310177117,5.18848,3.29194,1,0,1,0,1,0,0
310677073,5.19331,3.28872,1,0,1,0,1,0,0
311177767,5.19009,3.28872,1,0,1,0,1,0,0
311677112,5.18525,3.29355,1,0,1,0,1,0,0
312177074,5.18848,3.29355,1,0,1,0,1,0,0
312677787,5.19653,3.28711,1,0,1,0,1,0,0
313177088,5.1917,3.28872,1,0,1,0,1,0,0
313677066,5.19492,3.29355,1,0,1,0,1,0,0
314177431,5.1917,3.29033,1,0,1,0,1,0,0
314677095,5.19492,3.28872,1,0,1,0,1,0,0
315177102,5.19492,3.29194,1,0,1,0,1,0,0
315678103,5.19492,3.29194,1,0,1,0,1,0,0
316177067,5.19653,3.28872,1,0,1,0,1,0,0
316677197,5.19814,3.28872,1,0,1,0,1,0,0
317177113,5.19492,3.29355,1,0,1,0,1,0,0
317677068,5.19492,3.29033,1,0,1,0,1,0,0
318177071,5.19492,3.28872,1,0,1,0,1,0,0
318677066,5.19492,3.29194,1,0,1,0,1,0,0
319177170,5.19492,3.29194,1,0,1,0,1,0,0
319677074,5.18364,3.28872,1,0,1,0,1,0,0
320177089,5.19653,3.28872,1,0,1,0,1,0,0
320677077,5.19331,3.29194,1,0,1,0,1,0,0
321177167,5.19009,3.29355,1,0,1,0,1,0,0
321677218,5.19492,3.28872,1,0,1,0,1,0,0
322177064,5.19331,3.29194,1,0,1,0,1,0,0
322677144,5.19492,3.29355,1,0,1,0,1,0,0
323177115,5.19331,3.28872,1,0,1,0,1,0,0
323677068,5.19653,3.28872,1,0,1,0,1,0,0
324177201,5.19009,3.29194,1,0,1,0,1,0,0
324677065,5.19492,3.29355,1,0,1,0,1,0,0
325177065,5.19653,3.28872,1,0,1,0,1,0,0
325677101,5.19814,3.29194,1,0,1,0,1,0,0
326177065,5.19492,3.29194,1,0,1,0,1,0,0
326677098,5.19814,3.28872,1,0,1,0,1,0,0
327177124,5.19653,3.28872,1,0,1,0,1,0,0
327677066,5.19976,3.29355,1,0,1,0,1,0,0
328177238,5.19009,3.29194,1,0,1,0,1,0,0
328677619,5.19653,3.28711,1,0,1,0,1,0,0
329177070,5.19492,3.29355,1,0,1,0,1,0,0
329677241,5.19814,3.29355,1,0,1,0,1,0,0
330177104,5.1917,3.29194,1,0,1,0,1,0,0
330677099,5.19814,3.28872,1,0,1,0,1,0,0
331177243,5.19653,3.29355,1,0,1,0,1,0,0
331677337,5.19653,3.29355,1,0,1,0,1,0,0
332177066,5.19653,3.29033,1,0,1,0,1,0,0
332677068,5.19814,3.28711,1,0,1,0,1,0,0
333177187,5.19653,3.29355,1,0,1,0,1,0,0
333677136,5.19814,3.29355,1,0,1,0,1,0,0
334177134,5.19814,3.28872,1,0,1,0,1,0,0
334677932,5.19653,3.29355,1,0,1,0,1,0,0
335177216,5.19492,3.29194,1,0,1,0,1,0,0
335677184,5.19653,3.28872,1,0,1,0,1,0,0
336177107,5.19814,3.28872,1,0,1,0,1,0,0
336677173,5.19653,3.29355,1,0,1,0,1,0,0
337177067,5.19653,3.29194,1,0,1,0,1,0,0
337677613,5.19331,3.29033,1,0,1,0,1,0,0
338177191,5.19492,3.29355,1,0,1,0,1,0,0
338677064,5.19976,3.29355,1,0,1,0,1,0,0
